                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92188,                 0.4805,                 0.9665,                0.98687,                0.98992,                0.99358,                0.78142,                 0.8734,                0.37765,                0.95847,               0.008317,               0.008317,               0.008317
                     36,                0.93142,                0.48228,                0.96663,                 0.9882,                0.98741,                0.99403,                 0.7837,                0.86714,                0.37301,                 0.9614,              0.0082675,              0.0082675,              0.0082675
                     37,                0.91926,                0.48191,                0.96765,                0.99117,                 0.9883,                0.99395,                0.77595,                0.90017,                0.37629,                0.97287,               0.008218,               0.008218,               0.008218
                     38,                0.91336,                0.47143,                0.96686,                0.99112,                0.99074,                0.99429,                0.77772,                0.87864,                0.36601,                0.95671,              0.0081685,              0.0081685,              0.0081685
                     39,                0.91687,                0.47562,                0.96506,                0.99219,                0.99118,                0.99456,                0.78374,                0.87029,                0.36507,                0.94856,               0.008119,               0.008119,               0.008119
                     40,                0.90986,                0.47599,                 0.9629,                 0.9851,                0.99244,                0.99449,                0.77611,                0.88552,                0.38083,                0.96537,              0.0080695,              0.0080695,              0.0080695
                     41,                 0.9075,                0.47053,                0.96239,                0.99321,                0.98363,                0.99301,                0.77071,                0.87052,                 0.3641,                0.96228,                0.00802,                0.00802,                0.00802
                     42,                0.91148,                0.47136,                0.96608,                0.98824,                0.98704,                0.99306,                0.77189,                0.89157,                0.37312,                0.96716,              0.0079705,              0.0079705,              0.0079705
                     43,                0.89481,                0.46633,                0.95434,                0.98568,                0.99165,                0.99359,                0.78421,                0.86533,                0.36463,                0.95092,               0.007921,               0.007921,               0.007921
                     44,                0.89026,                0.46018,                0.95276,                0.99426,                0.99314,                0.99434,                0.78195,                0.85243,                0.36625,                0.95651,              0.0078715,              0.0078715,              0.0078715
                     45,                 0.9025,                0.46555,                 0.9624,                0.99021,                0.99264,                 0.9944,                0.78082,                0.86318,                0.35773,                 0.9552,               0.007822,               0.007822,               0.007822
                     46,                0.89189,                0.45776,                0.95441,                0.99079,                0.98853,                0.99297,                0.77621,                0.88039,                0.36367,                0.96264,              0.0077725,              0.0077725,              0.0077725
                     47,                0.88728,                0.45851,                0.95295,                0.98984,                0.99429,                0.99408,                0.79128,                0.86109,                0.35706,                0.95052,               0.007723,               0.007723,               0.007723
